Anno;Mese;Museo;Visitatori;Utenti
2015;gennaio;Museo Medievale;5281;318
2015;gennaio;MAMbo e Museo Morandi;10730;1811
2015;gennaio;Villa delle Rose;264;0
2015;gennaio;Museo della Musica;1769;901
2015;febbraio;Museo Archeologico;6865;1406
2015;febbraio;Collezioni Comunali d'Arte;944;184
2015;febbraio;Villa delle Rose;31;0
2015;febbraio;Museo per la Memoria di Ustica;869;127
2015;febbraio;Casa Morandi;238;0
2015;marzo;Museo Davia Bargellini;989;0
2015;marzo;Museo Medievale;5320;174
2015;marzo;MAMbo e Museo Morandi;8269;2944
2015;marzo;Villa delle Rose;0;0
2015;marzo;Museo per la Memoria di Ustica;2014;55
2015;marzo;Museo del Patrimonio Industriale;4595;2996
2015;aprile;Collezioni Comunali d'Arte;2667;420
2015;aprile;Museo Davia Bargellini;564;26
2015;aprile;Museo Medievale;5820;634
2015;aprile;Museo del Risorgimento;858;212
2015;maggio;Collezioni Comunali d'Arte;2167;501
2015;maggio;Museo del Patrimonio Industriale;2474;1556
2015;giugno;Museo Archeologico;3058;471
2015;giugno;Collezioni Comunali d'Arte;1136;7
2015;giugno;Museo Davia Bargellini;529;41
2015;giugno;Villa delle Rose;0;0
2015;giugno;Museo per la Memoria di Ustica;2322;0
2015;giugno;Casa Morandi;103;0
2015;giugno;Museo del Risorgimento;1056;819
2015;giugno;Museo della Musica;665;244
2015;luglio;Museo Archeologico;992;0
2015;luglio;Collezioni Comunali d'Arte;1028;0
2015;luglio;Villa delle Rose;0;0
2015;luglio;Casa Morandi;73;0
2015;agosto;Museo Archeologico;0;0
2015;agosto;Museo Medievale;1604;0
2015;agosto;Museo per la Memoria di Ustica;577;0
2015;agosto;Casa Morandi;93;0
2015;agosto;Museo del Patrimonio Industriale;134;69
2015;agosto;Museo del Risorgimento;0;87
2015;settembre;Villa delle Rose;0;0
2015;ottobre;Museo Davia Bargellini;442;0
2015;ottobre;Museo Medievale;2515;208
2015;ottobre;Villa delle Rose;0;1501
2015;ottobre;Museo del Patrimonio Industriale;2339;1752
2015;ottobre;Museo del Risorgimento;632;327
2015;novembre;Museo Archeologico;16866;303
2015;novembre;Collezioni Comunali d'Arte;1360;74
2015;novembre;Villa delle Rose;0;277
2015;novembre;Museo della Musica;4957;2969
2015;dicembre;Museo Archeologico;18075;204
2015;dicembre;Villa delle Rose;0;0
2015;dicembre;Museo del Patrimonio Industriale;2640;1538
2016;gennaio;Museo Archeologico;22155;357
2016;gennaio;Museo Davia Bargellini;5066;52
2016;gennaio;Museo per la Memoria di Ustica;1199;0
2016;gennaio;Museo del Patrimonio Industriale;3060;2271
2016;gennaio;Museo del Risorgimento;620;556
2016;febbraio;Collezioni Comunali d'Arte;1532;78
2016;febbraio;Museo Davia Bargellini;770;93
2016;febbraio;Museo Medievale;3295;713
2016;febbraio;Museo per la Memoria di Ustica;922;20
2016;marzo;Museo Davia Bargellini;661;24
2016;marzo;MAMbo e Museo Morandi;11509;1592
2016;marzo;Museo della Musica;2620;3402
2016;aprile;Collezioni Comunali d'Arte;2718;126
2016;aprile;Museo Davia Bargellini;791;84
2016;maggio;Museo Archeologico;21221;589
2016;maggio;Museo del Patrimonio Industriale;3465;2530
2016;giugno;Collezioni Comunali d'Arte;1716;21
2016;giugno;Museo Medievale;2273;441
2016;giugno;Casa Morandi;144;16
2016;giugno;Museo della Musica;1293;865
2016;luglio;Museo Archeologico;9344;109
2016;luglio;Collezioni Comunali d'Arte;1578;15
2016;luglio;Museo Davia Bargellini;409;0
2016;luglio;Museo Medievale;1995;216
2016;luglio;Villa delle Rose;96;0
2016;luglio;Museo del Patrimonio Industriale;307;206
2016;agosto;Museo Archeologico;1927;7
2016;agosto;Collezioni Comunali d'Arte;1983;0
2016;agosto;Museo Davia Bargellini;388;0
2016;agosto;Museo del Risorgimento;0;30
2016;agosto;Museo della Musica;1453;853
2016;settembre;Museo Davia Bargellini;396;0
2016;settembre;Casa Morandi;128;0
2016;settembre;Museo del Patrimonio Industriale;668;243
2016;ottobre;Villa delle Rose;725;0
2016;ottobre;Museo del Patrimonio Industriale;1622;2767
2016;novembre;Museo Archeologico;3758;281
2016;novembre;Museo Davia Bargellini;825;33
2016;novembre;Museo Medievale;2073;544
2016;novembre;MAMbo e Museo Morandi;44600;3541
2016;novembre;Museo del Patrimonio Industriale;3164;3751
2016;dicembre;Museo Archeologico;4023;383
2016;dicembre;Museo Davia Bargellini;2099;165
2016;dicembre;Museo Medievale;1457;175
2016;dicembre;Villa delle Rose;73;0
2016;dicembre;Casa Morandi;62;25
2016;dicembre;Museo del Patrimonio Industriale;2643;3283
2016;dicembre;Museo della Musica;1592;1201
2017;gennaio;Collezioni Comunali d'Arte;3600;1599
2017;febbraio;Collezioni Comunali d'Arte;2780;115
2017;febbraio;Museo Medievale;2139;588
2017;febbraio;Museo per la Memoria di Ustica;1138;75
2017;febbraio;Museo della Musica;2421;4749
2017;marzo;Collezioni Comunali d'Arte;2908;300
2017;marzo;Casa Morandi;309;0
2017;marzo;Museo della Musica;3418;4903
2017;aprile;Museo Davia Bargellini;728;53
2017;aprile;Villa delle Rose;0;0
2017;maggio;Museo Medievale;2931;887
2017;maggio;Museo per la Memoria di Ustica;967;108
2017;maggio;Museo del Patrimonio Industriale;3663;3777
2017;maggio;Museo della Musica;3206;5143
2017;giugno;Casa Morandi;159;9
2017;luglio;Museo Davia Bargellini;761;0
2017;luglio;MAMbo e Museo Morandi;7536;539
2017;luglio;Museo per la Memoria di Ustica;896;8
2017;luglio;Museo del Patrimonio Industriale;619;316
2017;agosto;Museo Davia Bargellini;585;0
2017;agosto;MAMbo e Museo Morandi;7096;124
2017;agosto;Casa Morandi;70;24
2017;settembre;Museo Davia Bargellini;2154;28
2017;settembre;MAMbo e Museo Morandi;8762;361
2017;settembre;Museo per la Memoria di Ustica;856;0
2017;settembre;Museo del Risorgimento;190;127
2017;settembre;Museo della Musica;1276;800
2017;ottobre;Museo Medievale;2834;388
2017;ottobre;Museo della Tappezzeria;656;253
2017;ottobre;MAMbo e Museo Morandi;12132;7098
2017;ottobre;Casa Morandi;217;82
2017;novembre;Museo della Tappezzeria;369;58
2017;novembre;MAMbo e Museo Morandi;9261;10157
2017;novembre;Villa delle Rose;0;0
2017;novembre;Museo per la Memoria di Ustica;1307;0
2017;novembre;Museo del Patrimonio Industriale;3350;4296
2017;novembre;Museo della Musica;2971;9082
2017;dicembre;Museo Davia Bargellini;2190;133
2017;dicembre;Museo della Tappezzeria;238;74
2017;dicembre;MAMbo e Museo Morandi;12426;2148
2017;dicembre;Villa delle Rose;0;0
2017;dicembre;Casa Morandi;128;25
2018;gennaio;Museo del Patrimonio Industriale;3028;4683
2018;febbraio;Museo Archeologico;8536;2583
2018;febbraio;Collezioni Comunali d'Arte;1207;217
2018;febbraio;Museo Davia Bargellini;691;53
2018;febbraio;Villa delle Rose;596;0
2018;febbraio;Museo per la Memoria di Ustica;1033;45
2018;marzo;Museo Archeologico;13136;3919
2018;marzo;Museo del Patrimonio Industriale;4387;2616
2018;marzo;Museo del Risorgimento;502;247
2018;marzo;Museo della Musica;3825;3972
2018;aprile;Museo per la Memoria di Ustica;2051;473
2018;maggio;Museo della Tappezzeria;594;315
2018;maggio;Museo per la Memoria di Ustica;1296;126
2018;maggio;Casa Morandi;275;0
2018;maggio;Museo del Patrimonio Industriale;4337;2302
2018;giugno;Museo Davia Bargellini;1915;142
2018;giugno;Museo per la Memoria di Ustica;1065;28
2018;luglio;Collezioni Comunali d'Arte;2187;0
2018;luglio;MAMbo e Museo Morandi;7650;672
2018;luglio;Villa delle Rose;0;392
2018;luglio;Casa Morandi;125;18
2018;luglio;Museo del Patrimonio Industriale;1155;577
2018;agosto;Museo Archeologico;3462;18
2018;agosto;MAMbo e Museo Morandi;7576;111
2018;agosto;Villa delle Rose;0;285
2018;agosto;Museo del Patrimonio Industriale;49;2
2018;settembre;Museo Archeologico;3319;15
2018;settembre;Collezioni Comunali d'Arte;2130;0
2018;settembre;Museo della Tappezzeria;1106;200
2018;settembre;Museo per la Memoria di Ustica;591;14
2018;settembre;Museo del Patrimonio Industriale;769;327
2018;settembre;Museo della Musica;1429;650
2018;ottobre;MAMbo e Museo Morandi;9179;3400
2018;ottobre;Villa delle Rose;92;0
2018;ottobre;Museo per la Memoria di Ustica;842;33
2018;ottobre;Museo del Risorgimento;691;324
2018;ottobre;Museo della Musica;2479;1189
2018;novembre;Museo Archeologico;15564;553
2018;novembre;Collezioni Comunali d'Arte;2115;120
2018;novembre;Museo Davia Bargellini;2043;31
2018;novembre;Museo della Musica;3314;1708
2018;dicembre;Museo del Patrimonio Industriale;2586;4342
2019;gennaio;Villa delle Rose;250;9
2019;febbraio;Collezioni Comunali d'Arte;2424;2942
2019;febbraio;Museo Medievale;3156;297
2019;febbraio;Museo della Tappezzeria;0;0
2019;febbraio;Casa Morandi;301;25
2019;marzo;Collezioni Comunali d'Arte;1403;24
2019;marzo;Villa delle Rose;227;0
2019;marzo;Museo per la Memoria di Ustica;2366;443
2019;aprile;Collezioni Comunali d'Arte;1408;0
2019;aprile;Museo Davia Bargellini;3335;143
2019;aprile;Museo della Tappezzeria;0;0
2019;aprile;Casa Morandi;201;21
2019;aprile;Museo del Patrimonio Industriale;3699;2145
2019;maggio;Museo Archeologico;21098;6871
2019;maggio;Museo della Tappezzeria;0;0
2019;maggio;MAMbo e Museo Morandi;9541;4511
2019;maggio;Villa delle Rose;115;105
2019;maggio;Museo del Risorgimento;2173;1789
2019;luglio;Museo Archeologico;7095;72
2019;luglio;Museo Davia Bargellini;1727;76
2019;luglio;MAMbo e Museo Morandi;8502;488
2019;luglio;Casa Morandi;128;19
2019;agosto;Museo Archeologico;7014;8
2019;agosto;Museo della Tappezzeria;0;0
2019;agosto;Museo del Risorgimento;0;15
2019;agosto;Museo della Musica;1519;823
2019;settembre;Museo Medievale;2137;70
2019;settembre;Museo per la Memoria di Ustica;568;20
2019;settembre;Museo del Risorgimento;285;252
2019;settembre;Museo della Musica;1405;671
2019;ottobre;Museo Archeologico;5704;340
2019;ottobre;Museo Davia Bargellini;2576;0
2019;ottobre;Museo Medievale;3407;485
2019;ottobre;MAMbo e Museo Morandi;11673;1928
2019;ottobre;Museo per la Memoria di Ustica;897;42
2019;ottobre;Casa Morandi;283;26
2019;novembre;Museo Davia Bargellini;2513;12
2019;novembre;Villa delle Rose;0;0
2019;novembre;Casa Morandi;253;51
2019;novembre;Museo del Patrimonio Industriale;3966;6010
2019;novembre;Museo della Musica;12237;2386
2019;dicembre;Museo Archeologico;8684;209
2019;dicembre;Collezioni Comunali d'Arte;2890;61
2019;dicembre;Museo Davia Bargellini;5274;20
2019;dicembre;Villa delle Rose;0;0
2019;dicembre;Museo per la Memoria di Ustica;696;43
2020;gennaio;Museo Davia Bargellini;7088;0
2020;gennaio;Villa delle Rose;3855;25
2020;gennaio;Museo del Patrimonio Industriale;3209;2428
2020;gennaio;Museo della Musica;4689;2166
2020;febbraio;Museo Davia Bargellini;1984;109
2020;febbraio;Museo Medievale;2647;324
2020;febbraio;Museo della Musica;2394;3244
2020;marzo;Museo Davia Bargellini;138;0
2020;marzo;Villa delle Rose;13;0
2020;marzo;Museo del Patrimonio Industriale;32;0
2020;marzo;Museo del Risorgimento;8;19
2020;marzo;Museo della Musica;82;9
2020;aprile;Museo Archeologico;0;0
2020;aprile;Museo della Tappezzeria;0;0
2020;aprile;Museo del Patrimonio Industriale;0;0
2020;aprile;Museo del Risorgimento;0;0
2020;maggio;Museo Archeologico;179;731
2020;maggio;Collezioni Comunali d'Arte;25;26
2020;maggio;Museo Medievale;126;898
2020;maggio;Villa delle Rose;0;0
2020;maggio;Museo del Patrimonio Industriale;48;1321
2020;maggio;Museo del Risorgimento;14;156
2020;giugno;Museo Archeologico;1716;302
2020;giugno;Museo della Tappezzeria;0;0
2020;giugno;Villa delle Rose;0;96
2020;giugno;Museo per la Memoria di Ustica;831;76
2020;giugno;Casa Morandi;28;0
2020;giugno;Museo del Patrimonio Industriale;112;52
2020;giugno;Museo del Risorgimento;80;190
2020;luglio;Museo Archeologico;2270;34
2020;luglio;MAMbo e Museo Morandi;1800;1729
2020;luglio;Museo del Patrimonio Industriale;134;51
2020;agosto;Museo Archeologico;3267;14
2020;agosto;Collezioni Comunali d'Arte;498;0
2020;agosto;Museo Davia Bargellini;541;0
2020;agosto;Villa delle Rose;0;167
2020;agosto;Casa Morandi;71;0
2020;agosto;Museo del Risorgimento;0;597
2020;settembre;Collezioni Comunali d'Arte;702;97
2020;settembre;Museo Medievale;810;37
2020;settembre;MAMbo e Museo Morandi;2180;830
2020;settembre;Casa Morandi;168;0
2020;settembre;Museo del Patrimonio Industriale;244;104
2020;settembre;Museo della Musica;678;184
2020;ottobre;Museo Archeologico;3770;297
2020;ottobre;Collezioni Comunali d'Arte;570;18
2020;ottobre;MAMbo e Museo Morandi;2361;1028
2020;ottobre;Casa Morandi;91;0
2020;ottobre;Museo della Musica;868;575
2020;novembre;Collezioni Comunali d'Arte;49;0
2020;novembre;Museo Davia Bargellini;101;0
2020;novembre;Museo Medievale;55;170
2020;novembre;MAMbo e Museo Morandi;185;200
2020;novembre;Casa Morandi;14;0
2020;novembre;Museo del Patrimonio Industriale;23;729
2020;novembre;Museo della Musica;82;45
2020;dicembre;Museo Archeologico;0;426
2020;dicembre;Museo della Tappezzeria;0;0
2020;dicembre;Museo della Musica;0;592
2021;gennaio;Museo Archeologico;0;179
2021;febbraio;Museo Davia Bargellini;1074;150
2021;febbraio;MAMbo e Museo Morandi;918;927
2021;febbraio;Villa delle Rose;0;0
2021;marzo;Museo Archeologico;0;200
2021;marzo;Collezioni Comunali d'Arte;0;347
2021;marzo;Museo Davia Bargellini;0;68
2021;marzo;Museo della Tappezzeria;0;0
2021;marzo;Museo per la Memoria di Ustica;0;99
2021;aprile;Museo Archeologico;318;517
2021;aprile;Collezioni Comunali d'Arte;93;191
2021;aprile;Museo della Musica;59;183
2021;maggio;Museo Archeologico;1765;632
2021;maggio;Collezioni Comunali d'Arte;1744;470
2021;maggio;MAMbo e Museo Morandi;3892;819
2021;maggio;Casa Morandi;154;0
2021;maggio;Museo del Risorgimento;90;343
2021;giugno;Museo Archeologico;1862;537
2021;giugno;Collezioni Comunali d'Arte;2106;130
2021;giugno;MAMbo e Museo Morandi;3454;1545
2021;giugno;Museo del Patrimonio Industriale;387;441
2021;luglio;Museo Medievale;1348;61
2021;luglio;MAMbo e Museo Morandi;4603;584
2021;luglio;Villa delle Rose;0;580
2021;luglio;Casa Morandi;137;0
2021;luglio;Museo della Musica;1187;573
2021;agosto;MAMbo e Museo Morandi;4252;45
2021;agosto;Villa delle Rose;0;60
2021;agosto;Casa Morandi;139;5
2021;agosto;Museo della Musica;1076;244
2021;settembre;MAMbo e Museo Morandi;4304;2251
2021;settembre;Museo per la Memoria di Ustica;526;47
2021;ottobre;Museo Archeologico;3653;51
2021;ottobre;Museo della Tappezzeria;0;0
2021;ottobre;Casa Morandi;370;24
2021;novembre;Collezioni Comunali d'Arte;4027;33
2021;novembre;Museo Medievale;1915;390
2021;novembre;MAMbo e Museo Morandi;13286;1870
2021;novembre;Museo per la Memoria di Ustica;744;4
2021;dicembre;Museo Archeologico;3174;318
2021;dicembre;Museo Davia Bargellini;2188;242
2021;dicembre;Museo della Tappezzeria;0;0
2021;dicembre;MAMbo e Museo Morandi;7375;1928
2021;dicembre;Casa Morandi;121;0
2015;gennaio;Museo Archeologico;9498;1313
2015;gennaio;Collezioni Comunali d'Arte;2186;174
2015;gennaio;Museo per la Memoria di Ustica;1134;0
2015;gennaio;Casa Morandi;1512;15
2015;febbraio;Museo Medievale;4621;153
2015;febbraio;MAMbo e Museo Morandi;5731;1257
2015;febbraio;Museo del Patrimonio Industriale;4183;2506
2015;marzo;Museo Archeologico;11697;2276
2015;marzo;Museo del Risorgimento;370;15
2015;aprile;Museo Archeologico;12935;2075
2015;aprile;MAMbo e Museo Morandi;6569;3559
2015;aprile;Villa delle Rose;0;0
2015;aprile;Casa Morandi;159;28
2015;aprile;Museo del Patrimonio Industriale;4201;2238
2015;aprile;Museo della Musica;2115;3221
2015;maggio;Museo Archeologico;10470;4492
2015;maggio;Museo Davia Bargellini;708;0
2015;maggio;Museo Medievale;2564;173
2015;maggio;MAMbo e Museo Morandi;6025;2235
2015;maggio;Museo del Risorgimento;838;390
2015;maggio;Museo della Musica;2167;2857
2015;giugno;MAMbo e Museo Morandi;4417;621
2015;giugno;Museo del Patrimonio Industriale;1032;820
2015;luglio;Museo Medievale;1657;211
2015;luglio;Museo della Musica;866;253
2015;agosto;Collezioni Comunali d'Arte;1305;0
2015;agosto;Museo Davia Bargellini;671;0
2015;agosto;MAMbo e Museo Morandi;6026;211
2015;agosto;Villa delle Rose;0;0
2015;agosto;Museo della Musica;1051;282
2015;settembre;Collezioni Comunali d'Arte;1566;58
2015;settembre;Museo Davia Bargellini;652;12
2015;settembre;Museo per la Memoria di Ustica;484;0
2015;settembre;Casa Morandi;112;0
2015;settembre;Museo del Risorgimento;163;75
2015;settembre;Museo della Musica;1015;394
2015;ottobre;Museo Archeologico;8263;69
2015;ottobre;MAMbo e Museo Morandi;12342;10651
2015;ottobre;Casa Morandi;180;0
2015;ottobre;Museo della Musica;7652;6665
2015;dicembre;Collezioni Comunali d'Arte;1245;46
2015;dicembre;Museo Medievale;2045;299
2015;dicembre;Museo per la Memoria di Ustica;663;16
2015;dicembre;Casa Morandi;95;0
2015;dicembre;Museo della Musica;1984;1048
2016;gennaio;Collezioni Comunali d'Arte;2125;266
2016;gennaio;Museo Medievale;3275;180
2016;gennaio;Villa delle Rose;0;0
2016;febbraio;Museo Archeologico;18496;488
2016;febbraio;MAMbo e Museo Morandi;8703;2219
2016;febbraio;Villa delle Rose;0;0
2016;febbraio;Casa Morandi;282;85
2016;marzo;Museo Archeologico;25903;954
2016;marzo;Museo Medievale;3881;565
2016;marzo;Villa delle Rose;0;0
2016;marzo;Casa Morandi;175;42
2016;marzo;Museo del Risorgimento;684;220
2016;aprile;Museo Archeologico;30088;636
2016;aprile;Museo Medievale;3884;712
2016;aprile;MAMbo e Museo Morandi;6023;6658
2016;aprile;Villa delle Rose;0;0
2016;aprile;Museo per la Memoria di Ustica;1935;339
2016;aprile;Casa Morandi;245;0
2016;aprile;Museo del Risorgimento;725;400
2016;maggio;Villa delle Rose;0;0
2016;maggio;Museo per la Memoria di Ustica;1557;252
2016;maggio;Casa Morandi;194;49
2016;maggio;Museo della Musica;4559;3558
2016;giugno;Villa delle Rose;252;0
2016;luglio;Museo per la Memoria di Ustica;712;0
2016;luglio;Casa Morandi;105;0
2016;luglio;Museo del Risorgimento;113;122
2016;luglio;Museo della Musica;1172;427
2016;agosto;MAMbo e Museo Morandi;19227;886
2016;agosto;Casa Morandi;46;0
2016;settembre;Museo Medievale;1970;405
2016;settembre;Museo per la Memoria di Ustica;375;0
2016;settembre;Museo del Risorgimento;559;77
2016;settembre;Museo della Musica;1348;596
2016;ottobre;Collezioni Comunali d'Arte;2603;577
2016;ottobre;MAMbo e Museo Morandi;49444;2515
2016;ottobre;Museo per la Memoria di Ustica;1280;0
2016;ottobre;Casa Morandi;279;119
2016;ottobre;Museo del Risorgimento;845;422
2016;ottobre;Museo della Musica;2129;1632
2016;novembre;Collezioni Comunali d'Arte;2130;1657
2016;novembre;Villa delle Rose;106;0
2016;novembre;Museo per la Memoria di Ustica;688;0
2016;novembre;Museo della Musica;2676;2335
2016;dicembre;Museo per la Memoria di Ustica;676;49
2016;dicembre;Museo del Risorgimento;529;154
2017;gennaio;Villa delle Rose;230;0
2017;gennaio;Museo per la Memoria di Ustica;1001;8
2017;gennaio;Museo del Patrimonio Industriale;2753;3932
2017;gennaio;Museo del Risorgimento;237;114
2017;febbraio;Museo Archeologico;9579;2092
2017;febbraio;Museo Davia Bargellini;621;134
2017;febbraio;Villa delle Rose;0;0
2017;febbraio;Museo del Patrimonio Industriale;4767;3528
2017;febbraio;Museo del Risorgimento;618;195
2017;marzo;Museo Davia Bargellini;929;48
2017;marzo;Museo Medievale;3380;1111
2017;marzo;MAMbo e Museo Morandi;8569;2885
2017;marzo;Museo per la Memoria di Ustica;1449;142
2017;marzo;Museo del Patrimonio Industriale;5659;3946
2017;marzo;Museo del Risorgimento;658;303
2017;aprile;Museo Archeologico;15644;4905
2017;aprile;MAMbo e Museo Morandi;9487;4759
2017;aprile;Casa Morandi;279;110
2017;aprile;Museo del Patrimonio Industriale;3859;2243
2017;maggio;Museo Archeologico;14252;4739
2017;maggio;Museo Davia Bargellini;927;89
2017;maggio;MAMbo e Museo Morandi;7567;3102
2017;maggio;Casa Morandi;237;82
2017;maggio;Museo del Risorgimento;2457;983
2017;giugno;Museo Archeologico;3707;320
2017;giugno;Collezioni Comunali d'Arte;1426;64
2017;giugno;Museo Medievale;2234;312
2017;giugno;Villa delle Rose;0;189
2017;giugno;Museo del Patrimonio Industriale;1102;892
2017;giugno;Museo del Risorgimento;368;192
2017;giugno;Museo della Musica;1428;365
2017;luglio;Museo Archeologico;3621;22
2017;luglio;Collezioni Comunali d'Arte;1309;6
2017;luglio;Museo Medievale;2041;577
2017;luglio;Villa delle Rose;0;134
2017;agosto;Collezioni Comunali d'Arte;1439;0
2017;agosto;Villa delle Rose;0;234
2017;agosto;Museo del Patrimonio Industriale;367;152
2017;agosto;Museo del Risorgimento;17;62
2017;agosto;Museo della Musica;1354;729
2017;settembre;Collezioni Comunali d'Arte;1593;8
2017;settembre;Museo del Patrimonio Industriale;1122;614
2017;ottobre;Collezioni Comunali d'Arte;1599;0
2017;ottobre;Museo del Patrimonio Industriale;3709;4045
2017;ottobre;Museo del Risorgimento;341;176
2017;novembre;Collezioni Comunali d'Arte;1791;194
2017;novembre;Museo Davia Bargellini;1463;81
2017;novembre;Museo Medievale;2754;346
2017;novembre;Museo del Risorgimento;528;318
2017;dicembre;Collezioni Comunali d'Arte;1613;138
2017;dicembre;Museo per la Memoria di Ustica;1032;43
2017;dicembre;Museo del Patrimonio Industriale;2918;1528
2017;dicembre;Museo del Risorgimento;358;179
2017;dicembre;Museo della Musica;1949;2369
2018;gennaio;Collezioni Comunali d'Arte;1626;150
2018;gennaio;Museo Davia Bargellini;1075;49
2018;gennaio;Villa delle Rose;485;73
2018;gennaio;Casa Morandi;112;0
2018;gennaio;Museo della Musica;1591;3092
2018;febbraio;Museo Medievale;3876;616
2018;febbraio;MAMbo e Museo Morandi;20497;4360
2018;febbraio;Museo del Patrimonio Industriale;3998;2586
