Anno;Mese;Museo;Visitatori;Utenti
2018;febbraio;Museo del Risorgimento;356;204
2018;marzo;Museo Medievale;4631;825
2018;marzo;Museo della Tappezzeria;374;120
2018;marzo;MAMbo e Museo Morandi;21603;2880
2018;marzo;Casa Morandi;242;47
2018;aprile;Collezioni Comunali d'Arte;3535;324
2018;aprile;Museo Davia Bargellini;3033;11
2018;aprile;Museo della Tappezzeria;482;67
2018;aprile;Casa Morandi;253;74
2018;aprile;Museo del Risorgimento;471;174
2018;aprile;Museo della Musica;3171;2457
2018;maggio;Museo Davia Bargellini;2285;143
2018;maggio;Museo del Risorgimento;2144;1631
2018;maggio;Museo della Musica;4560;5379
2018;giugno;Museo Medievale;2887;48
2018;giugno;Casa Morandi;143;18
2018;giugno;Museo del Patrimonio Industriale;1707;947
2018;giugno;Museo del Risorgimento;442;214
2018;luglio;Museo Archeologico;3018;63
2018;luglio;Museo Davia Bargellini;1528;0
2018;luglio;Museo Medievale;2183;11
2018;luglio;Museo della Tappezzeria;102;0
2018;agosto;Museo Davia Bargellini;1458;8
2018;agosto;Museo della Tappezzeria;75;0
2018;agosto;Museo per la Memoria di Ustica;514;0
2018;agosto;Museo del Risorgimento;18;21
2018;settembre;Museo Davia Bargellini;2178;0
2018;settembre;Casa Morandi;220;45
2018;ottobre;Museo Archeologico;11131;489
2018;ottobre;Museo Davia Bargellini;2348;119
2018;ottobre;Casa Morandi;189;0
2018;ottobre;Museo del Patrimonio Industriale;2476;4101
2018;novembre;MAMbo e Museo Morandi;10423;6096
2018;novembre;Museo per la Memoria di Ustica;870;0
2018;novembre;Museo del Risorgimento;641;229
2018;dicembre;Museo Archeologico;15530;437
2018;dicembre;Museo della Tappezzeria;0;0
2018;dicembre;Villa delle Rose;109;0
2018;dicembre;Museo per la Memoria di Ustica;1050;126
2019;gennaio;Museo Davia Bargellini;2029;24
2019;gennaio;Museo Medievale;2783;308
2019;gennaio;MAMbo e Museo Morandi;6275;1423
2019;gennaio;Museo del Patrimonio Industriale;3211;2056
2019;gennaio;Museo del Risorgimento;487;114
2019;gennaio;Museo della Musica;1972;3066
2019;febbraio;MAMbo e Museo Morandi;15900;5425
2019;febbraio;Museo del Patrimonio Industriale;4499;2866
2019;febbraio;Museo del Risorgimento;479;153
2019;febbraio;Museo della Musica;3245;5211
2019;marzo;Museo Davia Bargellini;2246;114
2019;marzo;Museo della Musica;3478;3654
2019;aprile;Museo Medievale;4548;396
2019;aprile;MAMbo e Museo Morandi;11560;15435
2019;aprile;Museo per la Memoria di Ustica;1592;24
2019;aprile;Museo del Risorgimento;833;294
2019;maggio;Museo per la Memoria di Ustica;1613;665
2019;maggio;Museo del Patrimonio Industriale;3669;2490
2019;giugno;Collezioni Comunali d'Arte;1658;0
2019;giugno;Museo Medievale;2292;9
2019;giugno;Museo della Tappezzeria;0;0
2019;giugno;Museo del Patrimonio Industriale;1732;1180
2019;giugno;Museo della Musica;1301;279
2019;luglio;Museo della Tappezzeria;0;0
2019;luglio;Villa delle Rose;0;536
2019;luglio;Museo del Patrimonio Industriale;316;133
2019;luglio;Museo della Musica;1711;868
2019;agosto;Collezioni Comunali d'Arte;1531;0
2019;agosto;MAMbo e Museo Morandi;8502;109
2019;agosto;Museo per la Memoria di Ustica;491;8
2019;agosto;Museo del Patrimonio Industriale;131;93
2019;settembre;Museo Archeologico;6340;112
2019;settembre;Collezioni Comunali d'Arte;1871;54
2019;settembre;Museo Davia Bargellini;2116;17
2019;settembre;Villa delle Rose;0;286
2019;settembre;Museo del Patrimonio Industriale;1008;508
2019;ottobre;Museo della Tappezzeria;0;0
2019;ottobre;Villa delle Rose;7300;0
2019;ottobre;Museo del Risorgimento;691;279
2019;ottobre;Museo della Musica;4506;747
2019;novembre;Museo del Risorgimento;812;398
2019;dicembre;MAMbo e Museo Morandi;7280;5656
2019;dicembre;Casa Morandi;171;52
2020;gennaio;Collezioni Comunali d'Arte;2886;0
2020;gennaio;Museo della Tappezzeria;0;0
2020;gennaio;Museo per la Memoria di Ustica;1306;135
2020;gennaio;Museo del Risorgimento;812;308
2020;febbraio;Museo Archeologico;14134;2705
2020;febbraio;Museo della Tappezzeria;0;0
2020;febbraio;Villa delle Rose;157;0
2020;febbraio;Museo per la Memoria di Ustica;1178;92
2020;febbraio;Casa Morandi;136;16
2020;febbraio;Museo del Patrimonio Industriale;3312;2129
2020;marzo;Museo Archeologico;466;4
2020;marzo;Collezioni Comunali d'Arte;58;0
2020;marzo;MAMbo e Museo Morandi;470;388
2020;aprile;Collezioni Comunali d'Arte;0;21
2020;aprile;Museo Medievale;0;149
2020;aprile;MAMbo e Museo Morandi;0;25
2020;maggio;Museo Davia Bargellini;227;138
2020;maggio;Museo della Tappezzeria;0;0
2020;maggio;Museo per la Memoria di Ustica;64;31
2020;maggio;Casa Morandi;15;0
2020;maggio;Museo della Musica;71;0
2020;giugno;Collezioni Comunali d'Arte;290;0
2020;giugno;Museo Davia Bargellini;544;90
2020;giugno;Museo Medievale;426;104
2020;giugno;MAMbo e Museo Morandi;827;731
2020;giugno;Museo della Musica;356;20
2020;luglio;Collezioni Comunali d'Arte;427;0
2020;luglio;Museo Medievale;576;3
2020;luglio;Villa delle Rose;0;288
2020;luglio;Museo per la Memoria di Ustica;899;0
2020;luglio;Casa Morandi;60;0
2020;agosto;Museo Medievale;884;0
2020;agosto;MAMbo e Museo Morandi;2160;2011
2020;agosto;Museo per la Memoria di Ustica;854;0
2020;agosto;Museo del Patrimonio Industriale;50;0
2020;settembre;Museo Archeologico;2713;9
2020;settembre;Museo della Tappezzeria;0;0
2020;settembre;Villa delle Rose;0;118
2020;ottobre;Museo della Tappezzeria;0;0
2020;ottobre;Museo del Patrimonio Industriale;301;78
2020;novembre;Museo della Tappezzeria;0;0
2020;novembre;Museo per la Memoria di Ustica;56;0
2020;novembre;Museo del Risorgimento;10;131
2020;dicembre;Collezioni Comunali d'Arte;0;0
2020;dicembre;Museo Medievale;0;308
2020;dicembre;MAMbo e Museo Morandi;5;715
2020;dicembre;Museo per la Memoria di Ustica;0;0
2020;dicembre;Museo del Risorgimento;0;135
2021;gennaio;Museo Medievale;0;193
2021;gennaio;MAMbo e Museo Morandi;0;264
2021;gennaio;Villa delle Rose;0;0
2021;gennaio;Casa Morandi;0;0
2021;gennaio;Museo del Patrimonio Industriale;0;1246
2021;febbraio;Museo Archeologico;674;1019
2021;febbraio;Collezioni Comunali d'Arte;898;258
2021;febbraio;Museo del Patrimonio Industriale;68;1312
2021;febbraio;Museo della Musica;206;23
2021;marzo;Museo Medievale;0;1078
2021;marzo;MAMbo e Museo Morandi;0;564
2021;marzo;Museo del Patrimonio Industriale;0;823
2021;marzo;Museo del Risorgimento;0;13
2021;aprile;Museo Davia Bargellini;71;325
2021;aprile;Museo Medievale;39;793
2021;aprile;Museo della Tappezzeria;0;0
2021;aprile;Museo per la Memoria di Ustica;0;53
2021;aprile;Casa Morandi;0;0
2021;aprile;Museo del Risorgimento;2;20
2021;maggio;Museo Medievale;777;657
2021;maggio;Museo della Tappezzeria;0;0
2021;maggio;Museo per la Memoria di Ustica;413;105
2021;maggio;Museo della Musica;1652;1343
2021;giugno;Museo Davia Bargellini;1285;49
2021;giugno;Museo della Tappezzeria;0;0
2021;giugno;Villa delle Rose;65;375
2021;giugno;Casa Morandi;76;0
2021;giugno;Museo del Risorgimento;188;485
2021;luglio;Museo Davia Bargellini;1228;30
2021;luglio;Museo della Tappezzeria;0;0
2021;luglio;Museo del Patrimonio Industriale;250;165
2021;luglio;Museo del Risorgimento;295;630
2021;agosto;Museo Davia Bargellini;1395;30
2021;agosto;Museo Medievale;1535;0
2021;agosto;Museo della Tappezzeria;0;0
2021;agosto;Museo per la Memoria di Ustica;573;0
2021;agosto;Museo del Patrimonio Industriale;114;71
2021;agosto;Museo del Risorgimento;12;538
2021;settembre;Museo Archeologico;2885;125
2021;settembre;Collezioni Comunali d'Arte;2267;114
2021;settembre;Museo Davia Bargellini;1772;30
2021;settembre;Museo Medievale;1481;36
2021;settembre;Museo della Tappezzeria;0;0
2021;settembre;Villa delle Rose;0;250
2021;settembre;Museo della Musica;995;264
2021;ottobre;Museo Davia Bargellini;2410;0
2021;ottobre;MAMbo e Museo Morandi;9293;1264
2021;ottobre;Museo per la Memoria di Ustica;942;4
2021;novembre;Museo della Tappezzeria;0;0
2021;novembre;Villa delle Rose;121;15
2021;novembre;Museo della Musica;1305;2949
2021;dicembre;Collezioni Comunali d'Arte;3671;232
2021;dicembre;Museo Medievale;1502;323
2021;dicembre;Museo per la Memoria di Ustica;659;22
2015;gennaio;Museo Davia Bargellini;1925;135
2015;gennaio;Museo del Patrimonio Industriale;3355;2108
2015;gennaio;Museo del Risorgimento;662;223
2015;febbraio;Museo Davia Bargellini;756;19
2015;febbraio;Museo del Risorgimento;612;145
2015;febbraio;Museo della Musica;1096;2531
2015;marzo;Collezioni Comunali d'Arte;1436;120
2015;marzo;Casa Morandi;309;45
2015;marzo;Museo della Musica;1357;4509
2015;aprile;Museo per la Memoria di Ustica;1216;143
2015;maggio;Villa delle Rose;0;0
2015;maggio;Museo per la Memoria di Ustica;1412;236
2015;maggio;Casa Morandi;1109;0
2015;giugno;Museo Medievale;1972;744
2015;luglio;Museo Davia Bargellini;460;0
2015;luglio;MAMbo e Museo Morandi;5022;573
2015;luglio;Museo per la Memoria di Ustica;729;0
2015;luglio;Museo del Patrimonio Industriale;454;224
2015;luglio;Museo del Risorgimento;85;12
2015;settembre;Museo Archeologico;0;0
2015;settembre;Museo Medievale;2556;388
2015;settembre;MAMbo e Museo Morandi;6481;580
2015;settembre;Museo del Patrimonio Industriale;1277;977
2015;ottobre;Collezioni Comunali d'Arte;2053;369
2015;ottobre;Museo per la Memoria di Ustica;716;0
2015;novembre;Museo Davia Bargellini;2017;0
2015;novembre;Museo Medievale;2013;355
2015;novembre;MAMbo e Museo Morandi;10863;6043
2015;novembre;Museo per la Memoria di Ustica;845;0
2015;novembre;Casa Morandi;115;0
2015;novembre;Museo del Patrimonio Industriale;3177;2505
2015;novembre;Museo del Risorgimento;926;434
2015;dicembre;Museo Davia Bargellini;1606;254
2015;dicembre;MAMbo e Museo Morandi;5523;3696
2015;dicembre;Museo del Risorgimento;426;184
2016;gennaio;MAMbo e Museo Morandi;14475;3383
2016;gennaio;Casa Morandi;868;28
2016;gennaio;Museo della Musica;2809;2094
2016;febbraio;Museo del Patrimonio Industriale;2894;1877
2016;febbraio;Museo del Risorgimento;675;240
2016;febbraio;Museo della Musica;2215;3591
2016;marzo;Collezioni Comunali d'Arte;2042;71
2016;marzo;Museo per la Memoria di Ustica;1008;41
2016;marzo;Museo del Patrimonio Industriale;3107;2166
2016;aprile;Museo del Patrimonio Industriale;3694;2433
2016;aprile;Museo della Musica;3385;5360
2016;maggio;Collezioni Comunali d'Arte;2154;48
2016;maggio;Museo Davia Bargellini;1184;101
2016;maggio;Museo Medievale;3354;1147
2016;maggio;MAMbo e Museo Morandi;5462;4462
2016;maggio;Museo del Risorgimento;2077;247
2016;giugno;Museo Archeologico;13367;146
2016;giugno;Museo Davia Bargellini;432;34
2016;giugno;MAMbo e Museo Morandi;3267;983
2016;giugno;Museo per la Memoria di Ustica;1377;0
2016;giugno;Museo del Patrimonio Industriale;820;513
2016;giugno;Museo del Risorgimento;337;145
2016;luglio;MAMbo e Museo Morandi;12683;1885
2016;agosto;Museo Medievale;1745;0
2016;agosto;Villa delle Rose;0;86
2016;agosto;Museo per la Memoria di Ustica;352;0
2016;agosto;Museo del Patrimonio Industriale;117;37
2016;settembre;Museo Archeologico;3287;464
2016;settembre;Collezioni Comunali d'Arte;1847;495
2016;settembre;MAMbo e Museo Morandi;22565;1683
2016;settembre;Villa delle Rose;294;120
2016;ottobre;Museo Archeologico;3964;267
2016;ottobre;Museo Davia Bargellini;573;0
2016;ottobre;Museo Medievale;2298;299
2016;novembre;Casa Morandi;99;12
2016;novembre;Museo del Risorgimento;377;114
2016;dicembre;Collezioni Comunali d'Arte;1950;3895
2016;dicembre;MAMbo e Museo Morandi;3113;4433
2017;gennaio;Museo Archeologico;7513;1003
2017;gennaio;Museo Davia Bargellini;1024;54
2017;gennaio;Museo Medievale;2669;394
2017;gennaio;MAMbo e Museo Morandi;8253;4123
2017;gennaio;Casa Morandi;1129;16
2017;gennaio;Museo della Musica;1809;2510
2017;febbraio;MAMbo e Museo Morandi;7190;1743
2017;febbraio;Casa Morandi;152;39
2017;marzo;Museo Archeologico;17803;5511
2017;marzo;Villa delle Rose;0;0
2017;aprile;Collezioni Comunali d'Arte;3334;113
2017;aprile;Museo Medievale;4684;516
2017;aprile;Museo per la Memoria di Ustica;1819;89
2017;aprile;Museo del Risorgimento;566;243
2017;aprile;Museo della Musica;3559;2178
2017;maggio;Collezioni Comunali d'Arte;2743;410
2017;maggio;Villa delle Rose;0;0
2017;giugno;Museo Davia Bargellini;811;292
2017;giugno;MAMbo e Museo Morandi;6212;952
2017;giugno;Museo per la Memoria di Ustica;808;17
2017;luglio;Casa Morandi;136;0
2017;luglio;Museo del Risorgimento;79;87
2017;luglio;Museo della Musica;1190;799
2017;agosto;Museo Archeologico;3744;174
2017;agosto;Museo Medievale;2181;2
2017;agosto;Museo per la Memoria di Ustica;729;7
2017;settembre;Museo Archeologico;3359;238
2017;settembre;Museo Medievale;2536;271
2017;settembre;Villa delle Rose;0;161
2017;settembre;Casa Morandi;117;0
2017;ottobre;Museo Archeologico;2661;10167
2017;ottobre;Museo Davia Bargellini;1657;0
2017;ottobre;Villa delle Rose;0;0
2017;ottobre;Museo per la Memoria di Ustica;1387;85
2017;ottobre;Museo della Musica;1941;5503
2017;novembre;Museo Archeologico;4568;16694
2017;novembre;Casa Morandi;108;0
2017;dicembre;Museo Archeologico;4198;337
2017;dicembre;Museo Medievale;2513;361
2018;gennaio;Museo Archeologico;5373;1282
2018;gennaio;Museo Medievale;2993;560
2018;gennaio;Museo della Tappezzeria;436;39
2018;gennaio;MAMbo e Museo Morandi;19109;1338
2018;gennaio;Museo per la Memoria di Ustica;924;46
2018;gennaio;Museo del Risorgimento;366;176
2018;febbraio;Museo della Tappezzeria;432;25
2018;febbraio;Casa Morandi;182;0
2018;febbraio;Museo della Musica;4541;4050
2018;marzo;Collezioni Comunali d'Arte;1398;169
2018;marzo;Museo Davia Bargellini;2451;36
2018;marzo;Villa delle Rose;399;0
2018;marzo;Museo per la Memoria di Ustica;1394;325
2018;aprile;Museo Archeologico;16487;4877
2018;aprile;Museo Medievale;5669;900
2018;aprile;MAMbo e Museo Morandi;23198;2254
2018;aprile;Villa delle Rose;0;0
2018;aprile;Museo del Patrimonio Industriale;3933;2067
2018;maggio;Museo Archeologico;14838;5733
2018;maggio;Collezioni Comunali d'Arte;2659;152
2018;maggio;Museo Medievale;4624;894
2018;maggio;MAMbo e Museo Morandi;16006;2277
2018;maggio;Villa delle Rose;357;0
2018;giugno;Museo Archeologico;4372;914
2018;giugno;Collezioni Comunali d'Arte;2527;26
2018;giugno;Museo della Tappezzeria;270;111
2018;giugno;MAMbo e Museo Morandi;7188;2951
2018;giugno;Villa delle Rose;93;280
2018;giugno;Museo della Musica;1937;922
2018;luglio;Museo per la Memoria di Ustica;917;0
2018;luglio;Museo del Risorgimento;119;128
2018;luglio;Museo della Musica;1602;851
2018;agosto;Collezioni Comunali d'Arte;1999;14
2018;agosto;Museo Medievale;2415;1
2018;agosto;Casa Morandi;140;0
2018;agosto;Museo della Musica;1343;582
2018;settembre;Museo Medievale;2825;128
2018;settembre;MAMbo e Museo Morandi;7683;1406
2018;settembre;Villa delle Rose;121;401
2018;settembre;Museo del Risorgimento;408;389
2018;ottobre;Collezioni Comunali d'Arte;1097;0
2018;ottobre;Museo Medievale;3042;227
2018;ottobre;Museo della Tappezzeria;0;0
2018;novembre;Museo Medievale;3041;351
2018;novembre;Museo della Tappezzeria;0;0
2018;novembre;Villa delle Rose;137;19
2018;novembre;Casa Morandi;218;27
2018;novembre;Museo del Patrimonio Industriale;3895;2870
2018;dicembre;Collezioni Comunali d'Arte;37705;23
2018;dicembre;Museo Davia Bargellini;3777;70
2018;dicembre;Museo Medievale;2460;47
2018;dicembre;MAMbo e Museo Morandi;6204;1757
2018;dicembre;Casa Morandi;121;0
2018;dicembre;Museo del Risorgimento;549;4131
2018;dicembre;Museo della Musica;2305;1568
2019;gennaio;Museo Archeologico;17772;1803
2019;gennaio;Collezioni Comunali d'Arte;18794;115
2019;gennaio;Museo della Tappezzeria;0;0
2019;gennaio;Museo per la Memoria di Ustica;719;0
2019;gennaio;Casa Morandi;138;22
2019;febbraio;Museo Archeologico;23690;2919
2019;febbraio;Museo Davia Bargellini;2562;51
2019;febbraio;Villa delle Rose;846;0
2019;febbraio;Museo per la Memoria di Ustica;1137;105
2019;marzo;Museo Archeologico;19482;5948
2019;marzo;Museo Medievale;4405;735
2019;marzo;Museo della Tappezzeria;0;0
2019;marzo;MAMbo e Museo Morandi;9858;3617
2019;marzo;Casa Morandi;259;97
2019;marzo;Museo del Patrimonio Industriale;5109;3100
2019;marzo;Museo del Risorgimento;1078;739
2019;aprile;Museo Archeologico;17437;4605
2019;aprile;Villa delle Rose;203;153
2019;aprile;Museo della Musica;4148;3301
2019;maggio;Collezioni Comunali d'Arte;1919;127
2019;maggio;Museo Davia Bargellini;2069;54
2019;maggio;Museo Medievale;3914;437
2019;maggio;Casa Morandi;247;1
2019;maggio;Museo della Musica;2887;2813
2019;giugno;Museo Archeologico;8644;933
2019;giugno;Museo Davia Bargellini;1918;37
2019;giugno;MAMbo e Museo Morandi;7467;2330
2019;giugno;Villa delle Rose;0;412
2019;giugno;Museo per la Memoria di Ustica;1198;26
2019;giugno;Casa Morandi;145;0
2019;giugno;Museo del Risorgimento;374;253
2019;luglio;Collezioni Comunali d'Arte;1625;79
2019;luglio;Museo Medievale;2176;112
2019;luglio;Museo per la Memoria di Ustica;1016;0
2019;luglio;Museo del Risorgimento;114;50
2019;agosto;Museo Davia Bargellini;1727;0
2019;agosto;Museo Medievale;2085;24
2019;agosto;Villa delle Rose;0;173
2019;agosto;Casa Morandi;107;0
2019;settembre;Museo della Tappezzeria;0;0
2019;settembre;MAMbo e Museo Morandi;7108;1715
2019;settembre;Casa Morandi;328;105
2019;ottobre;Collezioni Comunali d'Arte;2765;22
2019;ottobre;Museo del Patrimonio Industriale;2401;4708
2019;novembre;Museo Archeologico;5213;175
2019;novembre;Collezioni Comunali d'Arte;2299;36
2019;novembre;Museo Medievale;3082;215
2019;novembre;Museo della Tappezzeria;0;0
2019;novembre;MAMbo e Museo Morandi;14166;4847
2019;novembre;Museo per la Memoria di Ustica;1197;71
2019;dicembre;Museo Medievale;3073;945
2019;dicembre;Museo della Tappezzeria;0;0
2019;dicembre;Museo del Patrimonio Industriale;3775;2622
2019;dicembre;Museo del Risorgimento;737;4301
2019;dicembre;Museo della Musica;2338;1326
2020;gennaio;Museo Archeologico;13658;1080
2020;gennaio;Museo Medievale;4439;360
2020;gennaio;MAMbo e Museo Morandi;19824;2567
2020;gennaio;Casa Morandi;1208;83
2020;febbraio;Collezioni Comunali d'Arte;1815;122
2020;febbraio;MAMbo e Museo Morandi;7554;2391
2020;febbraio;Museo del Risorgimento;710;358
2020;marzo;Museo Medievale;176;2
2020;marzo;Museo della Tappezzeria;0;0
2020;marzo;Museo per la Memoria di Ustica;31;0
2020;marzo;Casa Morandi;6;0
2020;aprile;Museo Davia Bargellini;0;0
2020;aprile;Villa delle Rose;0;0
2020;aprile;Museo per la Memoria di Ustica;0;0
2020;aprile;Casa Morandi;0;0
2020;aprile;Museo della Musica;0;0
2020;maggio;MAMbo e Museo Morandi;185;821
2020;luglio;Museo Davia Bargellini;447;0
2020;luglio;Museo della Tappezzeria;0;0
2020;luglio;Museo del Risorgimento;69;547
2020;luglio;Museo della Musica;372;71
2020;agosto;Museo della Tappezzeria;0;0
2020;agosto;Museo della Musica;660;204
2020;settembre;Museo Davia Bargellini;875;0
2020;settembre;Museo per la Memoria di Ustica;873;0
2020;settembre;Museo del Risorgimento;179;734
2020;ottobre;Museo Davia Bargellini;1339;0
2020;ottobre;Museo Medievale;735;89
2020;ottobre;Villa delle Rose;0;0
2020;ottobre;Museo per la Memoria di Ustica;785;0
2020;ottobre;Museo del Risorgimento;83;456
2020;novembre;Museo Archeologico;315;3
2020;novembre;Villa delle Rose;0;0
2020;dicembre;Museo Davia Bargellini;0;0
2020;dicembre;Villa delle Rose;0;0
2020;dicembre;Casa Morandi;0;0
2020;dicembre;Museo del Patrimonio Industriale;0;1504
2021;gennaio;Collezioni Comunali d'Arte;0;0
2021;gennaio;Museo Davia Bargellini;0;30
2021;gennaio;Museo della Tappezzeria;0;0
2021;gennaio;Museo per la Memoria di Ustica;0;0
2021;gennaio;Museo del Risorgimento;0;175
2021;gennaio;Museo della Musica;0;23
2021;febbraio;Museo Medievale;300;388
2021;febbraio;Museo della Tappezzeria;0;0
2021;febbraio;Museo per la Memoria di Ustica;102;0
2021;febbraio;Casa Morandi;35;0
2021;febbraio;Museo del Risorgimento;22;164
2021;marzo;Villa delle Rose;0;0
2021;marzo;Casa Morandi;0;17
2021;marzo;Museo della Musica;0;2
2021;aprile;MAMbo e Museo Morandi;265;645
2021;aprile;Villa delle Rose;0;0
2021;aprile;Museo del Patrimonio Industriale;204;630
2021;maggio;Museo Davia Bargellini;1034;230
2021;maggio;Villa delle Rose;256;8
2021;maggio;Museo del Patrimonio Industriale;299;762
2021;giugno;Museo Medievale;1002;202
2021;giugno;Museo per la Memoria di Ustica;977;63
2021;giugno;Museo della Musica;1677;266
2021;luglio;Museo Archeologico;4390;266
2021;luglio;Collezioni Comunali d'Arte;2226;0
2021;luglio;Museo per la Memoria di Ustica;781;28
2021;agosto;Museo Archeologico;2896;58
2021;agosto;Collezioni Comunali d'Arte;2957;0
2021;settembre;Casa Morandi;116;0
2021;settembre;Museo del Patrimonio Industriale;359;260
2021;settembre;Museo del Risorgimento;78;620
2021;ottobre;Collezioni Comunali d'Arte;3906;60
2021;ottobre;Museo Medievale;1899;119
2021;ottobre;Villa delle Rose;0;0
2021;ottobre;Museo del Patrimonio Industriale;1033;456
2021;ottobre;Museo del Risorgimento;213;503
2021;ottobre;Museo della Musica;1359;1264
2021;novembre;Museo Archeologico;4174;319
2021;novembre;Museo Davia Bargellini;2161;202
2021;novembre;Casa Morandi;255;10
2021;novembre;Museo del Patrimonio Industriale;1277;1137
2021;novembre;Museo del Risorgimento;342;243
2021;dicembre;Villa delle Rose;180;0
2021;dicembre;Museo del Patrimonio Industriale;1011;768
2021;dicembre;Museo del Risorgimento;255;165
2021;dicembre;Museo della Musica;1675;3015
